date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-12-05,3203.78,3219.52,3204.71,3194.88,2230104.0,-39.13,-1.21,3250.962,3252.498,3220.522,2569499.6,2544138.33,2489047.42
2016-12-02,3270.12,3279.71,3243.84,3235.28,2595672.0,-29.47,-0.9,3265.42,3253.842,3216.953,2686581.3,2551780.78,2467251.47
2016-12-01,3257.03,3279.67,3273.31,3256.26,2377598.75,23.28,0.72,3269.04,3248.744,3211.027,2635290.1,2502040.23,2436309.47
2016-11-30,3272.14,3277.27,3250.03,3239.52,2435760.5,-32.89,-1.0,3262.726,3242.258,3203.809,2624419.4,2478486.6,2428922.66
2016-11-29,3269.23,3301.21,3282.92,3263.4,3208362.75,5.92,0.18,3260.948,3237.761,3196.444,2637186.5,2456677.55,2398495.66
2016-11-28,3270.05,3288.34,3277.0,3267.67,2815512.5,15.06,0.46,3254.034,3230.168,3188.42,2518777.05,2376727.63,2318193.54
2016-11-25,3241.24,3262.44,3261.94,3209.6,2339216.0,20.2,0.62,3242.264,3223.505,3179.594,2416980.25,2424784.7,2253171.3
2016-11-24,3237.43,3257.86,3241.74,3232.87,2323245.25,0.6,0.02,3228.448,3216.915,3171.711,2368790.35,2501717.67,2227097.56
2016-11-23,3247.94,3262.88,3241.14,3231.59,2499596.0,-7.21,-0.22,3221.79,3209.869,3165.241,2332553.8,2513585.75,2189939.69
2016-11-22,3220.98,3249.68,3248.35,3220.98,2616315.5,30.2,0.94,3214.574,3198.592,3159.0,2276168.6,2504741.1,2160791.53
2016-11-21,3188.5,3229.76,3218.15,3188.28,2306528.5,25.29,0.79,3206.302,3188.546,3153.179,2234678.2,2433956.53,2131666.2
2016-11-18,3207.19,3212.39,3192.86,3187.5,2098266.5,-15.59,-0.49,3204.746,3180.064,3148.684,2432589.15,2382722.16,2136600.95
2016-11-17,3198.5,3211.05,3208.45,3187.21,2142062.5,3.39,0.11,3205.382,3173.31,3143.588,2634645.0,2370578.71,2125381.66
2016-11-16,3208.5,3210.89,3205.06,3195.41,2217670.0,-1.93,-0.06,3197.948,3165.359,3137.389,2694617.7,2379358.71,2098624.22
2016-11-15,3209.95,3214.29,3206.99,3195.04,2408863.5,-3.38,-0.1,3182.61,3155.126,3131.371,2733313.6,2340313.78,2078975.79
2016-11-14,3187.71,3221.46,3210.37,3186.8,3296083.25,14.33,0.45,3170.79,3146.671,3125.216,2633234.85,2259659.46,2049553.84
2016-11-11,3169.4,3202.74,3196.04,3166.07,3108545.75,24.76,0.78,3155.382,3135.683,3116.756,2332855.18,2081557.9,1966616.31
2016-11-10,3148.54,3172.31,3171.28,3148.54,2441926.0,42.91,1.37,3141.238,3126.506,3110.144,2106512.43,1952477.45,1888875.87
2016-11-09,3146.08,3146.95,3128.37,3096.95,2411149.5,-19.52,-0.62,3132.77,3120.613,3104.648,2064099.73,1866293.64,1844157.94
2016-11-08,3140.94,3156.88,3147.89,3134.95,1908469.75,14.56,0.47,3127.642,3119.407,3101.154,1947313.95,1816841.95,1794847.25
2016-11-07,3124.89,3139.2,3133.33,3117.1,1794184.88,8.01,0.26,3122.552,3117.812,3097.022,1886084.08,1829375.88,1783060.51
2016-11-04,3126.35,3141.33,3125.32,3119.54,1976832.0,-3.62,-0.12,3115.984,3117.304,3092.763,1830260.62,1890479.74,1773376.82
